molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL13443,C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C,active,420.0
CHEMBL346460,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)NCC,active,350.0
CHEMBL348896,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)OC,intermediate,4340.0
CHEMBL351702,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C)C(C)C,intermediate,2500.0
CHEMBL351389,C=CCNC(=O)C(=O)C(CC=C)NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C,active,570.0
CHEMBL162786,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(=O)C(=O)OC,inactive,30000.0
CHEMBL351266,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(=O)C(=O)CC(C)C,inactive,30000.0
CHEMBL435655,C=CCNC(=O)C(=O)C(CC=C)NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C,active,340.0
CHEMBL349198,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)C1CC=CCC1,intermediate,4230.0
CHEMBL159173,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)CC(C)C,intermediate,4800.0
CHEMBL404816,C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C,active,840.0
CHEMBL1790526,CC[C@@H](C)[C@H](NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2cccc3ccccc23)C[C@H]1C(=O)NC1(C(=O)O)CC1)C(C)C,intermediate,5500.0
CHEMBL1790527,CCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2cccc3ccccc23)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCC(=O)O)[C@H](C)CC)C(C)C)C(=O)O,inactive,22000.0
CHEMBL451001,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)NN(C)c1ccccc1,active,480.0
CHEMBL3301643,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)OCc1ccccc1,active,800.0
CHEMBL3301632,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(CCC(C)C)C(=O)N[C@@H](C)c1ccccc1)C(C)C,intermediate,5700.0
CHEMBL3301631,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(CC(F)(F)F)C(=O)N[C@@H](C)c1ccccc1)C(C)C,active,340.0
CHEMBL450590,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1cccc2ccccc12,active,490.0
CHEMBL506943,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@H](C)c1ccccc1,intermediate,4300.0
CHEMBL3301639,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(CC)C(=O)N[C@@H](C)c1ccccc1)C(C)C,active,85.0
CHEMBL3301634,CCC(CC)N(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,intermediate,4100.0
CHEMBL509865,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1nnn[nH]1,active,860.0
CHEMBL3301644,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N1CCc2ccccc21,intermediate,4400.0
CHEMBL3301637,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(C)C(=O)N[C@@H](C)c1ccccc1)C(C)C,active,430.0
CHEMBL3301636,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=S)NCc1ccccc1,intermediate,4200.0
CHEMBL3301635,CCCCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,active,490.0
CHEMBL499671,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,active,78.0
CHEMBL3301646,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)NCc1ccccc1,active,590.0
CHEMBL3301633,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(CC(C)C)C(=O)N[C@@H](C)c1ccccc1)C(C)C,intermediate,2400.0
CHEMBL341277,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,43000.0
CHEMBL72695,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,inactive,150000.0
CHEMBL3301640,CCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(N)=O,inactive,26000.0
CHEMBL3301629,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(N)=O,inactive,17500.0
CHEMBL3301641,CCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,active,600.0
CHEMBL265531,CCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,intermediate,7000.0
CHEMBL3301645,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N(C)Cc1ccccc1,intermediate,8400.0
CHEMBL3301642,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)CCc1ccccc1,active,710.0
CHEMBL3301638,CCCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,active,99.0
CHEMBL3301630,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)NCc1ccc2c(c1)OCO2,active,500.0
CHEMBL504504,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](CC)c1ccccc1,active,440.0
CHEMBL499668,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccc(Br)cc1,active,72.0
CHEMBL509825,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)C1CCCCC1,active,420.0
CHEMBL3301628,CCC[C@@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,inactive,34000.0
CHEMBL447631,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@H]1CCc2ccccc21,active,100.0
CHEMBL350871,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccc(F)cc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,1030.0
CHEMBL166087,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2cccc3ccccc23)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,270.0
CHEMBL355235,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,200.0
CHEMBL163850,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2Cl)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,370.0
CHEMBL351223,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,790.0
CHEMBL167984,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2Oc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,300.0
CHEMBL441490,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccc(Oc3ccccc3)cc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,4740.0
CHEMBL352130,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2C)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,780.0
CHEMBL352843,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2cccc(F)c2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,500.0
CHEMBL348722,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(=O)NC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,180.0
CHEMBL350799,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)c2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,3400.0
CHEMBL434672,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2cccc(SC)c2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,130.0
CHEMBL349862,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2-c2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,inactive,30000.0
CHEMBL165388,CC[C@H](NC(=O)[C@@H]1CCc2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,7000.0
CHEMBL167959,CCOC(=O)c1cccc(NC(=O)N[C@]2(C)C[C@@H](C(=O)N[C@@H](CC)B3OC4C5CC(C[C@]4(C)O3)C5(C)C)n3c2ncc(NCc2cccc(C(F)(F)F)c2)c3=O)c1,intermediate,1550.0
CHEMBL166210,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccc(Cl)cc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,1100.0
CHEMBL352719,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2C(=O)OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,80.0
CHEMBL350980,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(=O)OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,100.0
CHEMBL167809,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2cccc3ccccc23)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,170.0
CHEMBL433706,CCOc1ccccc1NC(=O)N[C@]1(C)C[C@@H](C(=O)N[C@@H](CC)B2OC3C4CC(C[C@]3(C)O2)C4(C)C)n2c1ncc(NCc1cccc(C(F)(F)F)c1)c2=O,active,160.0
CHEMBL435265,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2C(=O)O)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,6400.0
CHEMBL351077,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2SC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,710.0
CHEMBL350398,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(=O)N(C)C)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,1460.0
CHEMBL444607,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccc(SC)cc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,2360.0
